trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-08-08 20:19:46,20260808,2026-08-08_20-19-46.json,600519,贵州茅台,buy_passed,buy,,78.2,0.72,1.15,,,,,20260810,1325.0,1348.86,1343.0,1341.99,1.8008,1.3585,1.2823,2.6392,-0.5223,-0.5223,,,,,,,,,,,,,,,,,,,,,,,,ok,45.3,1296.92,1318.08,1311.14,1296.67,0.65,1279.58,1151.01,1344.7,1363.35,1296.92,1309.22,1273.18,-2.75,1344.7,1363.35,0.98,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",,
2026-08-08 20:20:46,20260808,2026-08-08_20-20-46.json,300502,新易盛,watch,watch,,96.73,0.5636,0.632,,,,,20260810,420.06,399.6,428.2,448.08,-4.8707,1.9378,6.6705,7.8132,-7.5656,-7.5656,,,,,,,,,,,,,,,,,,,,,,,,ok,38.5,464.1,426.57,439.92,458.96,1.02,347.0,347.0,453.18,554.4,420.95,464.1,345.26,-17.98,453.18,554.4,0.43,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,601138,工业富联,watch,watch,,100.0,0.674,2.088,,,,,20260812,66.46,65.6,66.19,,-1.294,-0.4063,,2.4376,-2.9341,-2.9341,100.0,58.91,82.0,66.8,30.0,62.36,77.0,68.0,52.66,70.0,8.4,-4.58,True,False,10.0,0.0,,,,,,,,ok,58.9,61.36,64.74,63.47,63.15,1.33,65.85,52.57,70.35,73.23,61.36,66.01,65.52,-0.74,70.35,73.23,8.87,True,False,['low_signal_group'],,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,600938,中国海油,watch,watch,,100.0,0.7384,1.796,,,,,20260812,33.53,32.85,32.67,,-2.028,-2.5649,,0.0,-4.8613,-4.8613,46.0,79.9,74.0,60.0,30.0,55.84,77.0,68.0,61.54,70.0,7.1,5.31,True,False,10.0,0.0,,,,,,,,ok,57.8,31.48,31.99,31.69,31.33,0.85,28.74,25.92,35.34,35.88,31.48,33.7,28.6,-15.14,35.34,35.88,0.32,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300274,阳光电源,watch,watch,,96.95,0.6559,1.138,,,,,20260812,120.9,117.53,116.72,,-2.7874,-3.4574,,0.976,-4.0199,-4.0199,0.0,59.67,82.0,59.24,60.0,57.0,77.0,65.0,46.54,70.0,10.2,5.59,True,False,10.0,0.0,,,,,,,,ok,60.4,109.18,112.08,111.49,113.53,1.12,99.77,99.77,129.82,133.07,109.18,120.07,99.27,-17.32,129.82,133.07,0.47,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,301308,江波龙,watch,watch,,96.03,0.6648,1.051,,,,,20260812,418.05,414.3,406.45,,-0.897,-2.7748,,1.8251,-5.0377,-5.0377,54.0,0.0,82.0,75.26,30.0,56.92,77.0,68.0,50.49,70.0,9.8,1.21,True,True,10.0,0.0,,,,,,,,ok,57.0,383.44,383.71,386.58,407.98,1.15,308.0,308.0,429.53,645.09,383.44,417.5,306.46,-26.6,429.53,645.09,0.11,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,002384,东山精密,watch,watch,,90.65,0.6481,0.401,,,,,20260812,194.06,200.19,205.19,,3.1588,5.7353,,9.966,-0.6493,-0.6493,54.0,0.0,50.0,60.0,40.0,33.4,77.0,68.0,55.22,70.0,-4.4,4.26,True,False,10.0,0.0,,,,,,,,ok,42.2,205.58,188.63,192.42,200.35,0.96,161.8,161.8,202.18,274.5,193.87,205.58,160.99,-16.96,202.18,274.5,0.25,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300502,新易盛,consensus,,,,,,,,,,20260812,410.01,428.2,448.08,,4.4365,9.2851,,10.4558,-0.1244,-0.1244,54.0,2.15,34.0,,,,,,,,-9.1,3.93,,,,,,,,,,,,ok,36.3,452.24,419.4,431.46,450.09,1.03,347.0,347.0,448.62,453.18,415.3,452.24,345.26,-16.86,448.62,453.18,0.48,False,False,['rr_below_1.0'],,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300308,中际旭创,consensus,,,,,,,,,,20260812,880.13,921.0,943.0,,4.6436,7.1433,,9.7633,-0.4681,-0.4681,54.0,0.0,34.0,,,,,,,,-10.3,2.59,,,,,,,,,,,,ok,37.9,973.96,922.59,948.86,987.01,1.17,793.03,793.03,999.88,1033.89,886.96,973.96,789.06,-11.04,999.88,1033.89,1.15,True,True,,,
2026-08-12 15:54:46,20260812,2026-08-12_15-54-46.json,600667,太极实业,watch,watch,,98.0,0.628,2.405,,,,,20260813,22.8,23.78,,,4.2982,,,9.1228,-3.9035,-3.9035,100.0,100.0,82.0,68.0,46.0,57.0,69.0,68.0,53.52,65.0,27.2,7.12,False,False,10.0,0.0,,,,,,,,ok,72.6,18.01,19.85,19.36,19.36,1.14,13.65,12.08,27.95,31.18,18.01,22.71,13.58,-40.19,27.95,31.18,0.57,False,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']",,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,300285,国瓷材料,watch,watch,,100.0,0.6004,1.705,,,,,20260814,73.04,70.96,,,-2.8478,,,0.2191,-4.6961,-4.6961,100.0,100.0,82.0,42.06,30.0,57.0,77.0,65.0,44.32,65.0,17.6,1.54,True,False,10.0,0.0,,,,,,,,ok,64.3,64.35,70.07,68.5,68.06,1.14,47.77,41.3,83.64,112.88,64.35,70.66,47.53,-32.73,83.64,112.88,0.56,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,002428,云南锗业,watch,watch,,98.0,0.5953,1.674,,,,,20260814,100.83,101.59,,,0.7537,,,4.6316,-1.8149,-1.8149,100.0,100.0,82.0,42.67,30.0,57.0,77.0,68.0,39.41,65.0,32.3,5.68,True,False,10.0,0.0,,,,,,,,ok,65.2,84.65,95.07,90.84,88.83,1.52,60.8,60.8,110.77,132.87,84.65,100.21,60.5,-39.63,110.77,132.87,0.27,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,600667,太极实业,watch,watch,,98.0,0.5773,1.822,,,,,20260814,23.5,22.95,,,-2.3404,,,2.766,-3.7872,-3.7872,100.0,100.0,82.0,42.61,46.0,57.0,77.0,68.0,40.49,65.0,27.2,7.12,True,False,10.0,0.0,,,,,,,,ok,74.4,18.37,20.73,19.99,19.76,1.13,13.65,12.08,27.95,31.18,18.37,23.78,13.58,-42.89,27.95,31.18,0.41,False,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']",,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,002859,洁美科技,watch,watch,,98.0,0.5912,1.999,,,,,20260814,74.47,73.06,,,-1.8934,,,1.8262,-3.3033,-3.3033,100.0,100.0,82.0,43.93,46.0,57.0,77.0,68.0,52.05,65.0,24.1,-1.62,True,False,10.0,0.0,,,,,,,,ok,66.0,65.07,72.67,70.53,70.32,1.15,71.55,51.4,87.62,115.91,65.07,74.79,71.19,-4.81,87.62,115.91,3.57,True,False,['low_signal_group'],,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,603228,景旺电子,watch,watch,,98.0,0.6096,2.06,,,,,20260814,98.17,98.01,,,-0.163,,,1.4567,-3.7384,-3.7384,100.0,100.0,82.0,42.06,46.0,57.0,77.0,68.0,55.48,65.0,24.1,10.0,True,False,10.0,0.0,,,,,,,,ok,65.6,80.77,90.56,86.57,82.65,1.18,64.62,61.54,99.99,113.25,80.77,97.2,64.3,-33.85,99.99,113.25,0.08,False,False,"['low_signal_group', 'rr_below_1.0']",,
2026-08-13 08:50:54,20260813,2026-08-13_08-50-54.json,002552,宝鼎科技,consensus,,,,,,,,,,20260814,59.59,60.65,,,1.7788,,,2.0305,-3.8429,-3.8429,100.0,100.0,82.0,,,,,,,,40.8,10.0,,,,,,,,,,,,ok,73.7,45.87,51.05,48.37,47.81,1.56,31.69,31.69,68.88,70.99,45.87,58.66,31.53,-46.25,68.88,70.99,0.38,False,False,"['rr_below_1.0', 'rsi_above_70.0']",,
2026-08-13 19:36:44,20260813,2026-08-13_19-36-44.json,688432,有研硅,buy_passed,buy,B,100.0,0.5636,1.797,,,,,20260814,40.5,41.0,,,1.2346,,,3.3827,-2.0247,-2.0247,100.0,100.0,82.0,60.0,30.0,56.6,69.0,65.0,49.14,60.0,9.0,1.24,False,False,10.0,0.0,82.0,8.0,,,,,,ok,53.6,37.41,38.31,37.79,37.59,1.1,26.05,17.5,42.42,43.23,37.41,39.37,25.92,-34.16,42.42,43.23,0.23,False,False,['rr_below_1.0'],momentum,
2026-08-13 19:36:44,20260813,2026-08-13_19-36-44.json,603259,药明康德,consensus,,,,,,,,,,20260814,160.5,159.24,,,-0.785,,,1.5576,-1.8692,-1.8692,100.0,100.0,72.0,,,,,,,,17.9,-0.73,,,,,,,,,,,,ok,82.4,139.75,153.18,147.15,140.45,1.28,117.01,88.32,166.66,177.61,139.75,162.33,116.42,-28.28,166.66,177.61,0.09,False,False,"['rr_below_1.0', 'rsi_above_70.0']",momentum,
2026-08-13 19:36:44,20260813,2026-08-13_19-36-44.json,300534,陇神戎发,consensus,,,,,,,,,,20260814,18.92,18.9,,,-0.1057,,,2.0085,-5.8668,-5.8668,100.0,100.0,82.0,,,,,,,,16.4,0.45,,,,,,,,,,,,ok,78.9,13.9,15.89,14.99,13.85,1.04,9.53,6.78,22.12,23.19,13.9,18.92,9.48,-49.88,22.12,23.19,0.34,False,False,"['rr_below_1.0', 'rsi_above_70.0']",momentum,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,601168,西部矿业,watch,watch,,100.0,0.6556,2.054,,,,,20260814,36.0,37.14,,,3.1667,,,3.5278,-0.6111,-0.6111,100.0,100.0,82.0,60.0,30.0,47.0,77.0,68.0,57.32,45.0,2.6,-2.17,True,False,10.0,0.0,,,,,,,,ok,50.1,37.85,38.83,38.38,37.24,1.25,36.2,35.39,38.97,39.4,36.3,37.85,36.02,-0.77,38.97,39.4,9.5,True,False,['low_signal_group'],swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,688702,盛科通信,watch,watch,,100.0,0.6372,2.03,,,,,20260814,401.28,398.6,,,-0.6679,,,1.7992,-3.8053,-3.8053,100.0,97.53,74.0,68.0,30.0,54.88,77.0,65.0,50.29,45.0,4.7,-2.21,True,False,10.0,0.0,,,,,,,,ok,51.9,370.5,384.75,378.24,371.77,0.8,297.1,248.12,420.53,429.6,370.5,401.0,295.61,-26.28,420.53,429.6,0.19,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,600885,宏发股份,watch,watch,,100.0,0.628,1.885,,,,,20260814,36.02,36.2,,,0.4997,,,1.2215,-1.2493,-1.2493,100.0,75.2,74.0,60.0,46.0,47.0,77.0,68.0,60.72,45.0,0.7,-0.97,True,False,10.0,0.0,,,,,,,,ok,61.2,34.46,35.33,35.18,34.98,0.78,34.41,31.05,37.28,40.41,34.46,36.02,34.24,-4.95,37.28,40.41,0.71,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,688099,晶晨股份,watch,watch,,100.0,0.6096,1.274,,,,,20260814,97.6,96.8,,,-0.8197,,,1.4242,-2.9611,-2.9611,76.0,47.07,74.0,60.0,30.0,61.2,77.0,65.0,61.78,45.0,5.5,1.15,True,False,10.0,0.0,,,,,,,,ok,49.0,94.95,97.65,97.04,96.66,0.81,94.51,93.66,100.49,101.79,94.95,97.3,94.04,-3.35,100.49,101.79,0.98,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 20:30:00,20260813,2026-08-13_20-30-00.json,603519,立霸股份,watch,watch,,100.0,0.536,1.28,,,,,20260814,15.51,15.22,,,-1.8698,,,0.5803,-3.9329,-3.9329,100.0,95.74,74.0,68.0,30.0,47.0,47.0,68.0,44.44,45.0,2.4,0.64,True,True,10.0,0.0,,,,,,,,ok,57.9,15.35,15.59,15.45,15.23,0.93,15.0,11.12,16.08,16.49,15.35,15.68,14.93,-4.82,16.08,16.49,0.53,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 20:30:00,20260813,2026-08-13_20-30-00.json,601233,桐昆股份,watch,watch,,100.0,0.6556,1.938,,,,,20260814,22.77,22.84,,,0.3074,,,1.581,-0.9662,-0.9662,100.0,100.0,82.0,62.06,30.0,59.0,47.0,68.0,58.22,45.0,1.4,-2.83,True,False,10.0,0.0,,,,,,,,ok,62.0,22.37,23.15,22.9,22.59,1.12,20.13,18.24,23.18,24.89,22.37,22.67,20.03,-11.65,23.18,24.89,0.19,False,False,"['low_signal_group', 'rr_below_1.0']",swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,002415,海康威视,consensus,,,,,,,,,,20260814,35.62,34.88,,,-2.0775,,,0.5334,-3.032,-3.032,100.0,83.01,50.0,,,,,,,,0.5,0.27,,,,,,,,,,,,ok,50.9,36.46,36.68,36.62,36.21,0.77,34.78,29.76,36.16,38.34,35.66,36.46,34.61,-2.96,36.16,38.34,0.47,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,600985,淮北矿业,consensus,,,,,,,,,,20260814,16.27,17.34,,,6.5765,,,7.9287,-1.2907,-1.2907,100.0,92.37,82.0,,,,,,,,5.0,-4.1,,,,,,,,,,,,ok,64.9,15.47,16.12,15.87,15.6,1.14,14.11,12.41,17.11,17.83,15.47,16.26,14.04,-13.66,17.11,17.83,0.38,False,False,['rr_below_1.0'],swing,
2026-08-13 19:37:45,20260813,2026-08-13_19-37-45.json,600060,海信视像,consensus,,,,,,,,,,20260814,25.83,25.48,,,-1.355,,,0.0,-1.6647,-1.6647,100.0,72.11,50.0,,,,,,,,0.4,-1.32,,,,,,,,,,,,ok,52.3,26.15,26.09,26.12,26.1,0.69,25.76,25.34,26.92,27.11,25.85,26.15,25.63,-0.85,26.92,27.11,4.89,True,False,['volume_ratio_below_1.0'],swing,
2026-08-13 20:00:00,20260813,2026-08-13_20-00-00.json,603127,昭衍新药,watch,watch,,100.0,0.582,1.82,,,,,20260814,51.0,51.3,,,0.5882,,,2.1765,-2.0588,-2.0588,100.0,92.95,82.0,68.0,46.0,57.0,47.0,68.0,49.88,45.0,10.1,1.47,True,True,10.0,0.0,,,,,,,,ok,61.0,47.51,49.65,48.42,47.02,1.04,40.0,30.58,55.45,59.41,47.51,51.9,39.8,-23.31,55.45,59.41,0.29,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-08-13 20:00:00,20260813,2026-08-13_20-00-00.json,300408,三环集团,watch,watch,,100.0,0.5636,1.665,,,,,20260814,132.52,129.09,,,-2.5883,,,0.498,-4.9879,-4.9879,100.0,100.0,74.0,60.0,46.0,57.0,47.0,65.0,53.64,45.0,12.8,0.34,True,False,10.0,0.0,,,,,,,,ok,71.6,113.49,125.33,122.66,121.54,0.95,86.03,86.03,134.43,137.77,113.49,128.4,85.6,-33.33,134.43,137.77,0.14,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-08-13 20:30:00,20260813,2026-08-13_20-30-00.json,301536,星宸科技,watch,watch,,100.0,0.6556,2.052,,,,,20260814,124.29,122.31,,,-1.593,,,2.8562,-3.0815,-3.0815,100.0,100.0,74.0,76.0,30.0,60.2,47.0,68.0,53.72,45.0,3.0,-1.7,True,False,10.0,0.0,,,,,,,,ok,44.5,119.92,120.98,119.75,118.33,0.67,116.31,73.61,127.5,130.18,119.92,122.3,115.73,-5.37,127.5,130.18,0.79,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 20:30:00,20260813,2026-08-13_20-30-00.json,300105,龙源技术,watch,watch,,100.0,0.6004,1.679,,,,,20260814,8.95,8.6,,,-3.9106,,,0.2235,-5.9218,-5.9218,100.0,100.0,74.0,60.0,46.0,47.0,47.0,65.0,56.02,45.0,2.5,-2.31,True,False,10.0,0.0,,,,,,,,ok,47.1,8.94,8.54,8.46,8.37,0.81,7.43,5.77,10.34,10.86,8.89,8.94,7.39,-16.84,10.34,10.86,0.97,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",swing,
2026-08-13 20:30:00,20260813,2026-08-13_20-30-00.json,688071,华依科技,consensus,,,,,,,,,,20260814,36.63,36.0,,,-1.7199,,,0.6825,-3.0303,-3.0303,100.0,96.98,74.0,,,,,,,,1.9,-4.13,,,,,,,,,,,,ok,52.5,35.9,37.21,36.91,36.39,0.93,34.98,28.4,37.56,38.26,35.9,36.7,34.81,-5.16,37.56,38.26,0.45,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",swing,
